序号,物品名称,类别,数量,单位,备注
1,压缩饼干,食物,200,箱,
2,罐头,食物,150,箱,急需
3,饮用水,食物,500,桶,急需
4,大米,食物,80,袋,
5,面粉,食物,60,袋,
6,食用油,食物,40,桶,急需
7,盐,食物,30,袋,
8,糖,食物,25,袋,
9,茶叶,食物,15,盒,
10,咖啡,食物,10,罐,
11,维生素片,医疗,50,瓶,急需
12,酒精棉,医疗,100,盒,
13,止血带,医疗,30,条,急需
14,退烧药,医疗,20,盒,急需
15,抗生素,医疗,15,盒,急需
16,纱布,医疗,80,卷,
17,手术刀,医疗,12,把,
18,血压计,医疗,8,台,
19,帐篷,宿营,5,顶,
20,睡袋,宿营,30,个,急需
21,对讲机,通讯,15,台,急需
22,电池,电力,60,节,急需
23,太阳能板,电力,4,块,
24,发电机,电力,2,台,急需
25,工具箱,工具,10,套,
26,绳子,工具,25,根,
27,防水布,建材,20,块,急需
28,木料,建材,50,根,
29,钉子,建材,500,枚,
30,地图,导航,7,张,急需
