序号,物品名称,类别,数量,单位,备注
1,铁锹,工具,50,把,急需
2,锤子,工具,30,把,
3,绳索,工具,100,米,
4,锯子,工具,20,把,急需
5,扳手,工具,45,把,
6,电钻,工具,15,台,急需
7,螺丝刀,工具,60,把,
8,斧头,工具,25,把,
9,铲子,工具,40,把,急需
10,钳子,工具,35,把,
11,打火机,工具,100,个,
12,工具箱,工具,10,套,
13,绳子,工具,25,根,
14,帐篷,宿营,10,顶,急需
15,睡袋,宿营,50,个,
16,防潮垫,宿营,80,张,
17,手电筒,照明,30,个,急需
18,蜡烛,照明,200,支,
19,急救包,医疗,25,套,急需
20,绷带,医疗,40,卷,
21,消毒液,医疗,15,瓶,急需
22,指南针,导航,12,个,
23,地图,导航,8,张,急需
24,对讲机,通讯,18,台,急需
25,望远镜,光学,6,台,
26,净水器,饮水,20,台,急需
27,水壶,饮水,45,个,
28,压缩饼干,食物,200,箱,
29,罐头,食物,150,箱,急需
30,饮用水,食物,500,桶,急需
31,大米,食物,80,袋,
32,面粉,食物,60,袋,
33,食用油,食物,40,桶,急需
34,盐,食物,30,袋,
35,糖,食物,25,袋,
36,茶叶,食物,15,盒,
37,咖啡,食物,10,罐,
38,维生素片,医疗,50,瓶,急需
39,酒精棉,医疗,100,盒,
40,止血带,医疗,30,条,急需
41,退烧药,医疗,20,盒,急需
42,抗生素,医疗,15,盒,急需
43,纱布,医疗,80,卷,
44,手术刀,医疗,12,把,
45,血压计,医疗,8,台,
46,防水布,建材,20,块,急需
47,木料,建材,50,根,
48,钉子,建材,500,枚,
49,电池,电力,60,节,急需
50,太阳能板,电力,4,块,
51,发电机,电力,2,台,急需
52,口罩,医疗,200,盒,
53,手套,医疗,150,盒,急需
54,护目镜,医疗,30,副,
55,消毒湿巾,医疗,100,包,
56,体温计,医疗,25,支,急需
57,氧气瓶,医疗,10,罐,急需
58,心脏除颤器,医疗,2,台,
59,输液器,医疗,50,套,急需
60,缝合线,医疗,40,卷,
61,医用胶带,医疗,35,卷,
62,创可贴,医疗,200,盒,急需
63,止痛药,医疗,50,盒,
64,葡萄糖,医疗,100,袋,
65,生理盐水,医疗,60,瓶,急需
66,轮椅,医疗,3,台,
67,防护服,医疗,40,套,急需
68,担架,医疗,8,副,急需
69,手术器械,医疗,5,套,
70,听诊器,医疗,12,个,
